Node	Time	ActivationFactorUpRegulation
3	1	0
4	1	1
3	2	0
4	2	1
3	3	0
4	3	1
3	4	1
4	4	0
3	5	0
4	5	1
3	6	0
4	6	1
3	7	1
4	7	0
3	8	1
4	8	0
3	9	1
4	9	0
3	10	1
4	10	0
3	11	0
4	11	1
3	12	1
4	12	0
3	13	1
4	13	0
3	14	1
4	14	0
3	15	1
4	15	0
3	16	0
4	16	1
3	17	0
4	17	1
3	18	1
4	18	0
3	19	1
4	19	0
3	20	1
4	20	0
3	21	1
4	21	0
3	22	1
4	22	0
3	23	1
4	23	0
3	24	0
4	24	1
5	1	0
6	1	1
5	2	0
6	2	1
5	3	1
6	3	0
5	4	1
6	4	0
5	5	1
6	5	0
5	6	0
6	6	1
5	7	0
6	7	1
5	8	0
6	8	1
5	9	0
6	9	1
5	10	1
6	10	0
5	11	0
6	11	1
5	12	0
6	12	1
5	13	1
6	13	0
5	14	1
6	14	0
5	15	0
6	15	1
5	16	1
6	16	0
5	17	0
6	17	1
5	18	1
6	18	0
5	19	0
6	19	1
5	20	0
6	20	1
5	21	0
6	21	1
5	22	0
6	22	1
5	23	0
6	23	1
5	24	1
6	24	0
7	1	1
8	1	0
7	2	0
8	2	1
7	3	0
8	3	1
7	4	0
8	4	1
7	5	0
8	5	1
7	6	1
8	6	0
7	7	1
8	7	0
7	8	1
8	8	0
7	9	1
8	9	0
7	10	1
8	10	0
7	11	1
8	11	0
7	12	0
8	12	1
7	13	0
8	13	1
7	14	1
8	14	0
7	15	0
8	15	1
7	16	1
8	16	0
7	17	0
8	17	1
7	18	1
8	18	0
7	19	1
8	19	0
7	20	1
8	20	0
7	21	1
8	21	0
7	22	0
8	22	1
7	23	1
8	23	0
7	24	1
8	24	0
9	1	0
10	1	1
9	2	1
10	2	0
9	3	0
10	3	1
9	4	1
10	4	0
9	5	1
10	5	0
9	6	0
10	6	1
9	7	1
10	7	0
9	8	0
10	8	1
9	9	0
10	9	1
9	10	1
10	10	0
9	11	1
10	11	0
9	12	1
10	12	0
9	13	0
10	13	1
9	14	1
10	14	0
9	15	1
10	15	0
9	16	0
10	16	1
9	17	1
10	17	0
9	18	0
10	18	1
9	19	1
10	19	0
9	20	1
10	20	0
9	21	1
10	21	0
9	22	1
10	22	0
9	23	1
10	23	0
9	24	0
10	24	1
11	1	0
12	1	1
11	2	0
12	2	1
11	3	0
12	3	1
11	4	1
12	4	0
11	5	1
12	5	0
11	6	0
12	6	1
11	7	1
12	7	0
11	8	0
12	8	1
11	9	1
12	9	0
11	10	0
12	10	1
11	11	1
12	11	0
11	12	0
12	12	1
11	13	1
12	13	0
11	14	0
12	14	1
11	15	1
12	15	0
11	16	1
12	16	0
11	17	1
12	17	0
11	18	1
12	18	0
11	19	0
12	19	1
11	20	1
12	20	0
11	21	1
12	21	0
11	22	0
12	22	1
11	23	0
12	23	1
11	24	0
12	24	1
13	1	1
14	1	0
13	2	0
14	2	1
13	3	1
14	3	0
13	4	1
14	4	0
13	5	1
14	5	0
13	6	1
14	6	0
13	7	1
14	7	0
13	8	1
14	8	0
13	9	0
14	9	1
13	10	1
14	10	0
13	11	1
14	11	0
13	12	0
14	12	1
13	13	0
14	13	1
13	14	0
14	14	1
13	15	1
14	15	0
13	16	0
14	16	1
13	17	1
14	17	0
13	18	0
14	18	1
13	19	1
14	19	0
13	20	0
14	20	1
13	21	1
14	21	0
13	22	0
14	22	1
13	23	1
14	23	0
13	24	0
14	24	1
