Node	Time	ActivationFactorUpRegulation
3	1	0
4	1	0
5	1	0
6	1	0
7	1	1
8	1	1
9	1	0
10	1	0
11	1	0
12	1	0
13	1	1
14	1	1
15	1	0
16	1	0
17	1	0
18	1	1
19	1	1
20	1	0
21	1	1
22	1	1
23	1	0
24	1	0
25	1	1
26	1	0
27	1	0
28	1	1
29	1	0
30	1	1
31	1	0
32	1	1
33	1	0
34	1	0
35	1	1
36	1	1
37	1	0
38	1	0
39	1	0
40	1	1
41	1	0
42	1	0
43	1	0
44	1	0
45	1	1
46	1	1
47	1	0
48	1	1
49	1	0
50	1	0
51	1	1
52	1	0
53	1	1
54	1	1
55	1	0
56	1	0
57	1	0
3	2	1
4	2	1
5	2	1
6	2	0
7	2	0
8	2	0
9	2	1
10	2	0
11	2	0
12	2	0
13	2	0
14	2	1
15	2	0
16	2	0
17	2	1
18	2	0
19	2	1
20	2	0
21	2	1
22	2	1
23	2	1
24	2	0
25	2	0
26	2	0
27	2	0
28	2	0
29	2	1
30	2	1
31	2	0
32	2	1
33	2	0
34	2	0
35	2	0
36	2	0
37	2	1
38	2	0
39	2	0
40	2	1
41	2	0
42	2	0
43	2	0
44	2	0
45	2	1
46	2	0
47	2	0
48	2	0
49	2	1
50	2	1
51	2	1
52	2	0
53	2	0
54	2	0
55	2	0
56	2	1
57	2	1
3	3	1
4	3	0
5	3	1
6	3	0
7	3	0
8	3	1
9	3	0
10	3	1
11	3	1
12	3	1
13	3	1
14	3	1
15	3	0
16	3	0
17	3	0
18	3	0
19	3	0
20	3	0
21	3	0
22	3	1
23	3	0
24	3	0
25	3	0
26	3	1
27	3	0
28	3	0
29	3	1
30	3	1
31	3	0
32	3	1
33	3	0
34	3	0
35	3	0
36	3	0
37	3	1
38	3	1
39	3	0
40	3	0
41	3	1
42	3	1
43	3	1
44	3	1
45	3	0
46	3	0
47	3	1
48	3	1
49	3	0
50	3	0
51	3	1
52	3	0
53	3	1
54	3	1
55	3	0
56	3	0
57	3	0
3	4	1
4	4	1
5	4	0
6	4	1
7	4	1
8	4	0
9	4	1
10	4	0
11	4	0
12	4	1
13	4	0
14	4	0
15	4	0
16	4	0
17	4	1
18	4	1
19	4	1
20	4	1
21	4	1
22	4	0
23	4	1
24	4	0
25	4	0
26	4	0
27	4	1
28	4	0
29	4	0
30	4	0
31	4	1
32	4	0
33	4	1
34	4	1
35	4	0
36	4	1
37	4	1
38	4	0
39	4	0
40	4	0
41	4	0
42	4	0
43	4	1
44	4	0
45	4	1
46	4	1
47	4	1
48	4	1
49	4	0
50	4	1
51	4	0
52	4	0
53	4	0
54	4	1
55	4	1
56	4	0
57	4	0
3	5	1
4	5	0
5	5	0
6	5	0
7	5	1
8	5	0
9	5	0
10	5	0
11	5	1
12	5	0
13	5	0
14	5	0
15	5	0
16	5	0
17	5	0
18	5	1
19	5	0
20	5	1
21	5	0
22	5	0
23	5	0
24	5	1
25	5	0
26	5	0
27	5	0
28	5	1
29	5	0
30	5	0
31	5	1
32	5	0
33	5	1
34	5	0
35	5	0
36	5	0
37	5	1
38	5	1
39	5	0
40	5	1
41	5	1
42	5	0
43	5	1
44	5	0
45	5	0
46	5	0
47	5	0
48	5	0
49	5	1
50	5	0
51	5	0
52	5	0
53	5	1
54	5	0
55	5	0
56	5	1
57	5	0
3	6	0
4	6	1
5	6	0
6	6	1
7	6	0
8	6	0
9	6	1
10	6	0
11	6	0
12	6	0
13	6	1
14	6	0
15	6	0
16	6	0
17	6	0
18	6	0
19	6	0
20	6	0
21	6	0
22	6	0
23	6	1
24	6	1
25	6	1
26	6	1
27	6	0
28	6	0
29	6	1
30	6	1
31	6	1
32	6	1
33	6	1
34	6	0
35	6	1
36	6	1
37	6	1
38	6	0
39	6	0
40	6	1
41	6	0
42	6	0
43	6	1
44	6	1
45	6	1
46	6	0
47	6	0
48	6	0
49	6	0
50	6	0
51	6	1
52	6	0
53	6	1
54	6	1
55	6	1
56	6	1
57	6	0
3	7	0
4	7	1
5	7	0
6	7	0
7	7	1
8	7	0
9	7	0
10	7	0
11	7	1
12	7	0
13	7	1
14	7	0
15	7	0
16	7	0
17	7	1
18	7	1
19	7	1
20	7	0
21	7	1
22	7	1
23	7	0
24	7	1
25	7	0
26	7	0
27	7	1
28	7	0
29	7	0
30	7	1
31	7	0
32	7	0
33	7	1
34	7	0
35	7	0
36	7	1
37	7	0
38	7	0
39	7	1
40	7	0
41	7	0
42	7	0
43	7	1
44	7	0
45	7	1
46	7	1
47	7	0
48	7	0
49	7	1
50	7	0
51	7	1
52	7	1
53	7	1
54	7	0
55	7	0
56	7	1
57	7	1
3	8	0
4	8	0
5	8	0
6	8	1
7	8	1
8	8	1
9	8	0
10	8	0
11	8	1
12	8	0
13	8	0
14	8	0
15	8	1
16	8	0
17	8	1
18	8	0
19	8	0
20	8	0
21	8	0
22	8	0
23	8	1
24	8	0
25	8	0
26	8	0
27	8	1
28	8	0
29	8	1
30	8	0
31	8	0
32	8	1
33	8	1
34	8	0
35	8	0
36	8	1
37	8	1
38	8	1
39	8	1
40	8	0
41	8	0
42	8	0
43	8	0
44	8	1
45	8	1
46	8	0
47	8	1
48	8	0
49	8	1
50	8	0
51	8	0
52	8	0
53	8	0
54	8	0
55	8	1
56	8	0
57	8	0
3	9	0
4	9	1
5	9	0
6	9	0
7	9	1
8	9	0
9	9	0
10	9	1
11	9	0
12	9	0
13	9	0
14	9	0
15	9	1
16	9	0
17	9	0
18	9	1
19	9	0
20	9	1
21	9	0
22	9	0
23	9	0
24	9	0
25	9	1
26	9	1
27	9	0
28	9	0
29	9	1
30	9	0
31	9	0
32	9	0
33	9	0
34	9	0
35	9	1
36	9	1
37	9	0
38	9	0
39	9	0
40	9	0
41	9	0
42	9	1
43	9	0
44	9	0
45	9	0
46	9	0
47	9	0
48	9	1
49	9	1
50	9	0
51	9	0
52	9	0
53	9	1
54	9	0
55	9	1
56	9	0
57	9	0
3	10	0
4	10	0
5	10	0
6	10	1
7	10	0
8	10	1
9	10	1
10	10	1
11	10	0
12	10	0
13	10	1
14	10	1
15	10	0
16	10	0
17	10	0
18	10	0
19	10	1
20	10	1
21	10	0
22	10	1
23	10	0
24	10	1
25	10	1
26	10	0
27	10	1
28	10	0
29	10	1
30	10	1
31	10	0
32	10	0
33	10	0
34	10	0
35	10	1
36	10	0
37	10	1
38	10	0
39	10	1
40	10	1
41	10	0
42	10	1
43	10	0
44	10	1
45	10	0
46	10	0
47	10	0
48	10	0
49	10	1
50	10	1
51	10	0
52	10	0
53	10	0
54	10	1
55	10	1
56	10	1
57	10	0
3	11	0
4	11	0
5	11	0
6	11	1
7	11	0
8	11	1
9	11	0
10	11	1
11	11	0
12	11	1
13	11	0
14	11	0
15	11	1
16	11	0
17	11	1
18	11	1
19	11	0
20	11	0
21	11	0
22	11	1
23	11	0
24	11	1
25	11	1
26	11	1
27	11	0
28	11	1
29	11	1
30	11	1
31	11	0
32	11	1
33	11	0
34	11	0
35	11	0
36	11	1
37	11	0
38	11	1
39	11	0
40	11	1
41	11	0
42	11	0
43	11	1
44	11	1
45	11	1
46	11	0
47	11	0
48	11	0
49	11	1
50	11	0
51	11	0
52	11	0
53	11	1
54	11	1
55	11	0
56	11	0
57	11	0
3	12	1
4	12	0
5	12	0
6	12	1
7	12	1
8	12	1
9	12	0
10	12	0
11	12	0
12	12	1
13	12	0
14	12	0
15	12	0
16	12	0
17	12	0
18	12	0
19	12	0
20	12	0
21	12	0
22	12	0
23	12	0
24	12	0
25	12	1
26	12	1
27	12	1
28	12	0
29	12	0
30	12	1
31	12	0
32	12	0
33	12	0
34	12	1
35	12	1
36	12	0
37	12	1
38	12	0
39	12	1
40	12	1
41	12	1
42	12	1
43	12	1
44	12	0
45	12	0
46	12	0
47	12	0
48	12	0
49	12	0
50	12	1
51	12	0
52	12	1
53	12	0
54	12	1
55	12	1
56	12	1
57	12	1
3	13	0
4	13	0
5	13	0
6	13	1
7	13	0
8	13	0
9	13	1
10	13	0
11	13	0
12	13	1
13	13	0
14	13	0
15	13	0
16	13	1
17	13	0
18	13	0
19	13	0
20	13	1
21	13	0
22	13	0
23	13	1
24	13	0
25	13	1
26	13	0
27	13	0
28	13	0
29	13	0
30	13	0
31	13	0
32	13	0
33	13	1
34	13	0
35	13	1
36	13	0
37	13	1
38	13	1
39	13	0
40	13	1
41	13	0
42	13	1
43	13	0
44	13	0
45	13	1
46	13	0
47	13	1
48	13	1
49	13	1
50	13	1
51	13	0
52	13	0
53	13	0
54	13	0
55	13	0
56	13	0
57	13	0
3	14	1
4	14	1
5	14	1
6	14	0
7	14	0
8	14	0
9	14	1
10	14	0
11	14	0
12	14	0
13	14	1
14	14	1
15	14	1
16	14	0
17	14	0
18	14	1
19	14	1
20	14	0
21	14	0
22	14	1
23	14	0
24	14	0
25	14	0
26	14	1
27	14	0
28	14	0
29	14	0
30	14	1
31	14	0
32	14	1
33	14	0
34	14	1
35	14	1
36	14	0
37	14	0
38	14	1
39	14	0
40	14	1
41	14	0
42	14	1
43	14	0
44	14	1
45	14	0
46	14	0
47	14	0
48	14	0
49	14	0
50	14	1
51	14	0
52	14	0
53	14	1
54	14	1
55	14	0
56	14	0
57	14	1
3	15	0
4	15	0
5	15	0
6	15	0
7	15	0
8	15	1
9	15	0
10	15	0
11	15	0
12	15	0
13	15	1
14	15	1
15	15	1
16	15	0
17	15	0
18	15	1
19	15	0
20	15	1
21	15	0
22	15	0
23	15	0
24	15	1
25	15	0
26	15	1
27	15	0
28	15	0
29	15	1
30	15	1
31	15	1
32	15	1
33	15	1
34	15	1
35	15	0
36	15	0
37	15	0
38	15	1
39	15	1
40	15	0
41	15	0
42	15	0
43	15	0
44	15	1
45	15	1
46	15	1
47	15	1
48	15	1
49	15	0
50	15	1
51	15	1
52	15	0
53	15	0
54	15	0
55	15	0
56	15	1
57	15	1
3	16	1
4	16	1
5	16	1
6	16	0
7	16	1
