Node	Time	ActivationFactorUpRegulation
3	1	1
4	1	0
3	2	0
4	2	1
3	3	1
4	3	0
3	4	0
4	4	1
3	5	0
4	5	1
3	6	1
4	6	0
3	7	1
4	7	0
3	8	0
4	8	1
3	9	0
4	9	1
3	10	1
4	10	0
3	11	0
4	11	1
3	12	1
4	12	0
3	13	1
4	13	0
3	14	1
4	14	0
3	15	1
4	15	0
3	16	0
4	16	1
3	17	0
4	17	1
3	18	1
4	18	0
3	19	1
4	19	0
3	20	0
4	20	1
3	21	1
4	21	0
3	22	1
4	22	0
3	23	0
4	23	1
3	24	0
4	24	1
5	1	0
6	1	1
5	2	1
6	2	0
5	3	1
6	3	0
5	4	1
6	4	0
5	5	0
6	5	1
5	6	0
6	6	1
5	7	0
6	7	1
5	8	0
6	8	1
5	9	1
6	9	0
5	10	1
6	10	0
5	11	1
6	11	0
5	12	0
6	12	1
5	13	1
6	13	0
5	14	0
6	14	1
5	15	1
6	15	0
5	16	0
6	16	1
5	17	1
6	17	0
5	18	1
6	18	0
5	19	1
6	19	0
5	20	1
6	20	0
5	21	1
6	21	0
5	22	1
6	22	0
5	23	0
6	23	1
5	24	1
6	24	0
7	1	1
8	1	0
7	2	1
8	2	0
7	3	1
8	3	0
7	4	1
8	4	0
7	5	0
8	5	1
7	6	0
8	6	1
7	7	1
8	7	0
7	8	0
8	8	1
7	9	0
8	9	1
7	10	1
8	10	0
7	11	0
8	11	1
7	12	1
8	12	0
7	13	1
8	13	0
7	14	1
8	14	0
7	15	1
8	15	0
7	16	0
8	16	1
7	17	0
8	17	1
7	18	1
8	18	0
7	19	1
8	19	0
7	20	0
8	20	1
7	21	1
8	21	0
7	22	1
8	22	0
7	23	1
8	23	0
7	24	0
8	24	1
9	1	0
10	1	1
9	2	1
10	2	0
9	3	0
10	3	1
9	4	0
10	4	1
9	5	0
10	5	1
9	6	0
10	6	1
9	7	0
10	7	1
9	8	0
10	8	1
9	9	1
10	9	0
9	10	0
10	10	1
9	11	1
10	11	0
9	12	1
10	12	0
9	13	0
10	13	1
9	14	0
10	14	1
9	15	0
10	15	1
9	16	1
10	16	0
9	17	0
10	17	1
9	18	0
10	18	1
9	19	0
10	19	1
9	20	1
10	20	0
9	21	0
10	21	1
9	22	1
10	22	0
9	23	1
10	23	0
9	24	0
10	24	1
11	1	0
12	1	1
11	2	0
12	2	1
11	3	1
12	3	0
11	4	0
12	4	1
11	5	1
12	5	0
11	6	1
12	6	0
11	7	0
12	7	1
11	8	1
12	8	0
11	9	1
12	9	0
11	10	0
12	10	1
11	11	0
12	11	1
11	12	1
12	12	0
11	13	1
12	13	0
11	14	1
12	14	0
11	15	1
12	15	0
11	16	0
12	16	1
11	17	0
12	17	1
11	18	0
12	18	1
11	19	0
12	19	1
11	20	1
12	20	0
11	21	1
12	21	0
11	22	1
12	22	0
11	23	1
12	23	0
11	24	0
12	24	1
13	1	0
14	1	1
13	2	0
14	2	1
13	3	0
14	3	1
13	4	0
14	4	1
13	5	1
14	5	0
13	6	0
14	6	1
13	7	1
14	7	0
13	8	0
14	8	1
13	9	1
14	9	0
13	10	0
14	10	1
13	11	1
14	11	0
13	12	0
14	12	1
13	13	1
14	13	0
13	14	0
14	14	1
13	15	1
14	15	0
13	16	0
14	16	1
13	17	1
14	17	0
13	18	0
14	18	1
13	19	1
14	19	0
13	20	1
14	20	0
13	21	0
14	21	1
13	22	1
14	22	0
13	23	0
14	23	1
13	24	0
14	24	1
