Node	Time	ActivationFactorDwnRegulation
3	1	1
4	1	0
3	2	1
4	2	0
3	3	1
4	3	0
3	4	0
4	4	1
3	5	0
4	5	1
3	6	0
4	6	1
3	7	1
4	7	0
3	8	1
4	8	0
3	9	1
4	9	0
3	10	1
4	10	0
3	11	1
4	11	0
3	12	0
4	12	1
3	13	0
4	13	1
3	14	1
4	14	0
3	15	0
4	15	1
3	16	1
4	16	0
3	17	0
4	17	1
3	18	0
4	18	1
3	19	1
4	19	0
3	20	1
4	20	0
3	21	1
4	21	0
3	22	1
4	22	0
3	23	1
4	23	0
3	24	1
4	24	0
5	1	1
6	1	0
5	2	1
6	2	0
5	3	0
6	3	1
5	4	1
6	4	0
5	5	1
6	5	0
5	6	0
6	6	1
5	7	1
6	7	0
5	8	1
6	8	0
5	9	0
6	9	1
5	10	0
6	10	1
5	11	0
6	11	1
5	12	1
6	12	0
5	13	1
6	13	0
5	14	0
6	14	1
5	15	1
6	15	0
5	16	0
6	16	1
5	17	1
6	17	0
5	18	0
6	18	1
5	19	1
6	19	0
5	20	1
6	20	0
5	21	1
6	21	0
5	22	0
6	22	1
5	23	1
6	23	0
5	24	1
6	24	0
7	1	0
8	1	1
7	2	1
8	2	0
7	3	1
8	3	0
7	4	1
8	4	0
7	5	1
8	5	0
7	6	1
8	6	0
7	7	0
8	7	1
7	8	0
8	8	1
7	9	1
8	9	0
7	10	0
8	10	1
7	11	1
8	11	0
7	12	1
8	12	0
7	13	1
8	13	0
7	14	0
8	14	1
7	15	1
8	15	0
7	16	1
8	16	0
7	17	0
8	17	1
7	18	1
8	18	0
7	19	0
8	19	1
7	20	0
8	20	1
7	21	1
8	21	0
7	22	1
8	22	0
7	23	0
8	23	1
7	24	1
8	24	0
9	1	0
10	1	1
9	2	1
10	2	0
9	3	0
10	3	1
9	4	0
10	4	1
9	5	1
10	5	0
9	6	0
10	6	1
9	7	0
10	7	1
9	8	0
10	8	1
9	9	0
10	9	1
9	10	0
10	10	1
9	11	1
10	11	0
9	12	0
10	12	1
9	13	1
10	13	0
9	14	1
10	14	0
9	15	0
10	15	1
9	16	0
10	16	1
9	17	0
10	17	1
9	18	0
10	18	1
9	19	0
10	19	1
9	20	1
10	20	0
9	21	1
10	21	0
9	22	1
10	22	0
9	23	1
10	23	0
9	24	0
10	24	1
11	1	1
12	1	0
11	2	0
12	2	1
11	3	0
12	3	1
11	4	0
12	4	1
11	5	1
12	5	0
11	6	0
12	6	1
11	7	1
12	7	0
11	8	0
12	8	1
11	9	1
12	9	0
11	10	1
12	10	0
11	11	1
12	11	0
11	12	0
12	12	1
11	13	1
12	13	0
11	14	0
12	14	1
11	15	0
12	15	1
11	16	0
12	16	1
11	17	1
12	17	0
11	18	0
12	18	1
11	19	1
12	19	0
11	20	1
12	20	0
11	21	0
12	21	1
11	22	1
12	22	0
11	23	1
12	23	0
11	24	0
12	24	1
13	1	1
14	1	0
13	2	0
14	2	1
13	3	1
14	3	0
13	4	1
14	4	0
13	5	1
14	5	0
13	6	1
14	6	0
13	7	1
14	7	0
13	8	1
14	8	0
13	9	0
14	9	1
13	10	0
14	10	1
13	11	0
14	11	1
13	12	0
14	12	1
13	13	0
14	13	1
13	14	0
14	14	1
13	15	0
14	15	1
13	16	0
14	16	1
13	17	0
14	17	1
13	18	1
14	18	0
13	19	0
14	19	1
13	20	1
14	20	0
13	21	0
14	21	1
13	22	1
14	22	0
13	23	1
14	23	0
13	24	1
14	24	0
