Node	Time	ActivationFactorUpRegulation
3	1	1
4	1	0
5	1	1
6	1	1
7	1	1
8	1	0
9	1	0
10	1	0
11	1	1
12	1	0
13	1	1
14	1	0
15	1	1
16	1	0
17	1	0
18	1	0
19	1	1
20	1	0
21	1	0
22	1	0
23	1	1
24	1	1
25	1	1
26	1	0
27	1	0
28	1	0
29	1	0
30	1	0
31	1	0
32	1	1
33	1	0
34	1	1
35	1	0
36	1	0
37	1	1
38	1	1
39	1	0
40	1	1
41	1	1
42	1	0
43	1	1
44	1	1
45	1	1
46	1	1
47	1	0
48	1	1
49	1	1
50	1	1
51	1	1
52	1	1
53	1	0
54	1	0
55	1	1
56	1	1
57	1	1
3	2	0
4	2	0
5	2	1
6	2	1
7	2	0
8	2	0
9	2	0
10	2	1
11	2	0
12	2	1
13	2	0
14	2	1
15	2	0
16	2	0
17	2	0
18	2	0
19	2	1
20	2	1
21	2	1
22	2	1
23	2	0
24	2	1
25	2	0
26	2	1
27	2	0
28	2	0
29	2	0
30	2	0
31	2	0
32	2	1
33	2	0
34	2	1
35	2	0
36	2	0
37	2	0
38	2	1
39	2	0
40	2	0
41	2	0
42	2	0
43	2	1
44	2	0
45	2	1
46	2	0
47	2	0
48	2	0
49	2	1
50	2	1
51	2	0
52	2	0
53	2	0
54	2	0
55	2	0
56	2	0
57	2	0
3	3	0
4	3	1
5	3	0
6	3	0
7	3	1
8	3	0
9	3	0
10	3	0
11	3	0
12	3	0
13	3	0
14	3	1
15	3	1
16	3	1
17	3	0
18	3	0
19	3	1
20	3	0
21	3	0
22	3	1
23	3	1
24	3	1
25	3	1
26	3	0
27	3	0
28	3	1
29	3	1
30	3	0
31	3	0
32	3	0
33	3	0
34	3	1
35	3	1
36	3	0
37	3	0
38	3	0
39	3	1
40	3	0
41	3	1
42	3	1
43	3	1
44	3	1
45	3	0
46	3	1
47	3	0
48	3	0
49	3	0
50	3	0
51	3	1
52	3	1
53	3	1
54	3	1
55	3	1
56	3	0
57	3	0
3	4	0
4	4	0
5	4	0
6	4	0
7	4	0
8	4	0
9	4	0
10	4	1
11	4	0
12	4	1
13	4	1
14	4	1
15	4	0
16	4	1
17	4	0
18	4	1
19	4	0
20	4	0
21	4	0
22	4	1
23	4	0
24	4	0
25	4	0
26	4	0
27	4	1
28	4	0
29	4	0
30	4	1
31	4	0
32	4	0
33	4	0
34	4	1
35	4	1
36	4	0
37	4	0
38	4	1
39	4	1
40	4	1
41	4	0
42	4	0
43	4	0
44	4	0
45	4	1
46	4	0
47	4	0
48	4	0
49	4	1
50	4	0
51	4	1
52	4	0
53	4	1
54	4	0
55	4	1
56	4	1
57	4	1
3	5	1
4	5	0
5	5	0
6	5	1
7	5	1
8	5	0
9	5	0
10	5	0
11	5	1
12	5	0
13	5	1
14	5	0
15	5	0
16	5	0
17	5	0
18	5	1
19	5	0
20	5	0
21	5	0
22	5	1
23	5	0
24	5	1
25	5	0
26	5	0
27	5	1
28	5	0
29	5	1
30	5	0
31	5	0
32	5	1
33	5	0
34	5	0
35	5	0
36	5	0
37	5	0
38	5	1
39	5	0
40	5	0
41	5	0
42	5	0
43	5	0
44	5	1
45	5	1
46	5	1
47	5	0
48	5	0
49	5	1
50	5	1
51	5	0
52	5	0
53	5	0
54	5	1
55	5	0
56	5	0
57	5	0
3	6	1
4	6	1
5	6	0
6	6	0
7	6	0
8	6	0
9	6	0
10	6	0
11	6	1
12	6	1
13	6	0
14	6	0
15	6	1
16	6	0
17	6	0
18	6	0
19	6	1
20	6	0
21	6	0
22	6	0
23	6	1
24	6	0
25	6	0
26	6	1
27	6	1
28	6	0
29	6	0
30	6	0
31	6	1
32	6	0
33	6	0
34	6	1
35	6	1
36	6	0
37	6	0
38	6	1
39	6	1
40	6	0
41	6	0
42	6	0
43	6	1
44	6	1
45	6	1
46	6	0
47	6	0
48	6	0
49	6	1
50	6	1
51	6	0
52	6	0
53	6	1
54	6	0
55	6	1
56	6	0
57	6	0
3	7	1
4	7	1
5	7	1
6	7	1
7	7	0
8	7	0
9	7	0
10	7	0
11	7	1
12	7	0
13	7	0
14	7	0
15	7	1
16	7	0
17	7	0
18	7	1
19	7	0
20	7	0
21	7	1
22	7	0
23	7	0
24	7	1
25	7	0
26	7	0
27	7	0
28	7	1
29	7	1
30	7	0
31	7	1
32	7	1
33	7	1
34	7	1
35	7	1
36	7	0
37	7	1
38	7	0
39	7	0
40	7	1
41	7	0
42	7	0
43	7	1
44	7	0
45	7	1
46	7	0
47	7	0
48	7	1
49	7	0
50	7	0
51	7	1
52	7	0
53	7	0
54	7	0
55	7	0
56	7	0
57	7	0
3	8	0
4	8	0
5	8	0
6	8	0
7	8	0
8	8	1
9	8	1
10	8	1
11	8	0
12	8	0
13	8	0
14	8	1
15	8	0
16	8	0
17	8	0
18	8	0
19	8	0
20	8	0
21	8	0
22	8	0
23	8	1
24	8	0
25	8	1
26	8	0
27	8	1
28	8	0
29	8	1
30	8	0
31	8	1
32	8	1
33	8	0
34	8	1
35	8	0
36	8	1
37	8	0
38	8	0
39	8	0
40	8	0
41	8	0
42	8	1
43	8	0
44	8	1
45	8	0
46	8	0
47	8	0
48	8	0
49	8	1
50	8	0
51	8	1
52	8	0
53	8	1
54	8	1
55	8	0
56	8	0
57	8	0
