Node	NodeProbability
1	0.5
2	0.5
3	0.00909090909090909
4	0.00909090909090909
5	0.00909090909090909
6	0.00909090909090909
7	0.00909090909090909
8	0.00909090909090909
9	0.00909090909090909
10	0.00909090909090909
11	0.00909090909090909
12	0.00909090909090909
13	0.00909090909090909
14	0.00909090909090909
15	0.00909090909090909
16	0.00909090909090909
17	0.00909090909090909
18	0.00909090909090909
19	0.00909090909090909
20	0.00909090909090909
21	0.00909090909090909
22	0.00909090909090909
23	0.00909090909090909
24	0.00909090909090909
25	0.00909090909090909
26	0.00909090909090909
27	0.00909090909090909
28	0.00909090909090909
29	0.00909090909090909
30	0.00909090909090909
31	0.00909090909090909
32	0.00909090909090909
33	0.00909090909090909
34	0.00909090909090909
35	0.00909090909090909
36	0.00909090909090909
37	0.00909090909090909
38	0.00909090909090909
39	0.00909090909090909
40	0.00909090909090909
41	0.00909090909090909
42	0.00909090909090909
43	0.00909090909090909
44	0.00909090909090909
45	0.00909090909090909
46	0.00909090909090909
47	0.00909090909090909
48	0.00909090909090909
49	0.00909090909090909
50	0.00909090909090909
51	0.00909090909090909
52	0.00909090909090909
53	0.00909090909090909
54	0.00909090909090909
55	0.00909090909090909
56	0.00909090909090909
57	0.00909090909090909
58	0.00909090909090909
59	0.00909090909090909
60	0.00909090909090909
61	0.00909090909090909
62	0.00909090909090909
63	0.00909090909090909
64	0.00909090909090909
65	0.00909090909090909
66	0.00909090909090909
67	0.00909090909090909
68	0.00909090909090909
69	0.00909090909090909
70	0.00909090909090909
71	0.00909090909090909
72	0.00909090909090909
73	0.00909090909090909
74	0.00909090909090909
75	0.00909090909090909
76	0.00909090909090909
77	0.00909090909090909
78	0.00909090909090909
79	0.00909090909090909
80	0.00909090909090909
81	0.00909090909090909
82	0.00909090909090909
83	0.00909090909090909
84	0.00909090909090909
85	0.00909090909090909
86	0.00909090909090909
87	0.00909090909090909
88	0.00909090909090909
89	0.00909090909090909
90	0.00909090909090909
91	0.00909090909090909
92	0.00909090909090909
93	0.00909090909090909
94	0.00909090909090909
95	0.00909090909090909
96	0.00909090909090909
97	0.00909090909090909
98	0.00909090909090909
99	0.00909090909090909
100	0.00909090909090909
101	0.00909090909090909
102	0.00909090909090909
103	0.00909090909090909
104	0.00909090909090909
105	0.00909090909090909
106	0.00909090909090909
107	0.00909090909090909
108	0.00909090909090909
109	0.00909090909090909
110	0.00909090909090909
111	0.00909090909090909
112	0.00909090909090909
