Node	Time	Intraday_Price
3	1	1.1639732737653796
3	2	0.9905746457673105
3	3	0.7602625860230005
3	4	0.865811784167226
3	5	0.8581748849390828
3	6	3.36964142393732
3	7	4.638064379178315
3	8	6.992028195887649
3	9	7.162147525777665
3	10	3.342654959440695
3	11	2.3638116859037943
3	12	0.29106914222067587
3	13	0.0
3	14	-0.07638230519831438
3	15	-0.0073737772044543334
3	16	1.4747589569739297
3	17	4.4211159409668115
3	18	6.502183546971875
3	19	8.463364940244333
3	20	4.1046304141434415
3	21	5.66696314665063
3	22	5.2338758861167385
3	23	4.5586991004450095
3	24	3.4828753750225396
4	1	40.08936068987052
4	2	54.067846221038366
4	3	39.99476635297735
4	4	55.17316625069424
4	5	54.34951321146969
4	6	41.69536846420124
4	7	48.85664577173615
4	8	91.2591531883001
4	9	75.60655762633974
4	10	42.48548076128091
4	11	34.88400964083167
4	12	22.65540324944494
4	13	7.053048882595505
4	14	1.0152083027832122
4	15	0.6367308913340811
4	16	34.27242142914035
4	17	41.5220738534457
4	18	57.91077356811439
4	19	43.7769565082567
4	20	46.10720296304042
4	21	55.07306673334837
4	22	40.611626749904424
4	23	45.107459784727745
4	24	33.403088748328415
5	1	37.09489345194838
5	2	34.40455120956996
5	3	29.039471919994366
5	4	34.19554490350956
5	5	21.101352894463595
5	6	38.931563472097054
5	7	30.31967004687671
5	8	37.28014189744549
5	9	45.56195370430917
5	10	43.9257638904529
5	11	39.39206452653682
5	12	47.8150680307438
5	13	42.69369958994252
5	14	39.50704159332574
5	15	23.496895012073878
5	16	32.194842489949075
5	17	31.68886479492649
5	18	30.84625365964068
5	19	41.17993831980544
5	20	37.064284753815656
5	21	29.77143691690458
5	22	56.72014580474035
5	23	26.857634613227013
5	24	33.55984601468025
6	1	7.695213267862416
6	2	6.1211098095977485
6	3	4.3060840748910225
6	4	4.376112350781428
6	5	6.888873384320539
6	6	6.641268117281106
6	7	7.587538623380559
6	8	9.499687919541504
6	9	9.54743561055199
6	10	5.97927855143326
6	11	4.021680700768471
6	12	5.640547638005978
6	13	6.179820029365979
6	14	5.64159108489323
6	15	0.607002336710368
6	16	9.0812544635593
6	17	6.539079128524103
6	18	9.617813151899224
6	19	17.6464226887679
6	20	16.513116706752474
6	21	14.221942441874033
6	22	14.55128676117155
6	23	10.562999899764415
6	24	6.367036662404981
7	1	45.959952549298166
7	2	45.42177309552178
7	3	42.96212047296435
7	4	31.87191272347258
7	5	50.90064119730026
7	6	62.1803967656914
7	7	109.56584194372948
7	8	100.12081356508897
7	9	57.94261980695661
7	10	45.90902359336965
7	11	27.771543652971733
7	12	40.934080027409756
7	13	38.58301104133864
7	14	36.2535369993276
7	15	47.14980920653275
7	16	46.67060825190487
7	17	39.634325053978955
7	18	57.62087552366459
7	19	39.926336357935604
7	20	47.43995034964675
7	21	63.30466948906189
7	22	54.96795959351776
7	23	44.670754530083656
7	24	32.597754688367445
8	1	17.52224366026273
8	2	23.77179152804612
8	3	37.47418580767702
8	4	24.667919030123972
8	5	34.517294494734166
8	6	48.59645249838673
8	7	44.47242638962852
8	8	29.699351436087223
8	9	36.5805051890602
8	10	34.86573901228939
8	11	26.802212404154115
8	12	39.180671323062626
8	13	41.972125944465574
8	14	39.76191551942847
8	15	30.940049073485007
8	16	58.50737592495043
8	17	54.8906684464243
8	18	26.16988817423497
8	19	55.70701130124173
8	20	36.07923694120095
8	21	55.7044409713157
8	22	47.370689405453874
8	23	39.88127096830584
8	24	36.819410318477516
9	1	-0.021692480129113494
9	2	-0.39722815695515884
9	3	-1.1833425662843708
9	4	-0.9664412626933453
9	5	-0.43116792415398053
9	6	-0.027892354353460158
9	7	-0.010291496249855418
9	8	-0.07400757355435209
9	9	-1.4710481740400314
9	10	-7.190120702843657
9	11	-10.240334149533485
9	12	-20.447139468237047
9	13	-18.180079527064073
9	14	-19.711541359116758
9	15	-10.648192838335172
9	16	-0.056912215718075566
9	17	0.9590140256246275
9	18	1.0434510085490427
9	19	0.7495361645320117
9	20	1.5811113806966475
9	21	1.4111504699530377
9	22	0.9050914248039785
9	23	1.605958233637247
