Node	Time	ActivationFactorDwnRegulation
3	1	1
4	1	0
3	2	1
4	2	0
3	3	0
4	3	1
3	4	1
4	4	0
3	5	1
4	5	0
3	6	1
4	6	0
3	7	0
4	7	1
3	8	1
4	8	0
3	9	0
4	9	1
3	10	0
4	10	1
3	11	1
4	11	0
3	12	0
4	12	1
3	13	1
4	13	0
3	14	1
4	14	0
3	15	0
4	15	1
3	16	1
4	16	0
3	17	1
4	17	0
3	18	1
4	18	0
3	19	0
4	19	1
3	20	0
4	20	1
3	21	1
4	21	0
3	22	0
4	22	1
3	23	0
4	23	1
3	24	1
4	24	0
5	1	0
6	1	1
5	2	1
6	2	0
5	3	1
6	3	0
5	4	0
6	4	1
5	5	1
6	5	0
5	6	1
6	6	0
5	7	0
6	7	1
5	8	0
6	8	1
5	9	1
6	9	0
5	10	1
6	10	0
5	11	0
6	11	1
5	12	0
6	12	1
5	13	1
6	13	0
5	14	1
6	14	0
5	15	0
6	15	1
5	16	1
6	16	0
5	17	1
6	17	0
5	18	0
6	18	1
5	19	0
6	19	1
5	20	0
6	20	1
5	21	1
6	21	0
5	22	0
6	22	1
5	23	0
6	23	1
5	24	0
6	24	1
7	1	1
8	1	0
7	2	0
8	2	1
7	3	1
8	3	0
7	4	1
8	4	0
7	5	1
8	5	0
7	6	0
8	6	1
7	7	1
8	7	0
7	8	0
8	8	1
7	9	0
8	9	1
7	10	0
8	10	1
7	11	1
8	11	0
7	12	1
8	12	0
7	13	1
8	13	0
7	14	1
8	14	0
7	15	0
8	15	1
7	16	0
8	16	1
7	17	1
8	17	0
7	18	0
8	18	1
7	19	1
8	19	0
7	20	0
8	20	1
7	21	1
8	21	0
7	22	1
8	22	0
7	23	1
8	23	0
7	24	1
8	24	0
9	1	1
10	1	0
9	2	1
10	2	0
9	3	1
10	3	0
9	4	1
10	4	0
9	5	0
10	5	1
9	6	1
10	6	0
9	7	1
10	7	0
9	8	1
10	8	0
9	9	0
10	9	1
9	10	1
10	10	0
9	11	1
10	11	0
9	12	0
10	12	1
9	13	0
10	13	1
9	14	0
10	14	1
9	15	1
10	15	0
9	16	0
10	16	1
9	17	0
10	17	1
9	18	1
10	18	0
9	19	1
10	19	0
9	20	1
10	20	0
9	21	1
10	21	0
9	22	0
10	22	1
9	23	1
10	23	0
9	24	0
10	24	1
11	1	1
12	1	0
11	2	1
12	2	0
11	3	0
12	3	1
11	4	0
12	4	1
11	5	0
12	5	1
11	6	0
12	6	1
11	7	0
12	7	1
11	8	1
12	8	0
11	9	1
12	9	0
11	10	0
12	10	1
11	11	1
12	11	0
11	12	0
12	12	1
11	13	1
12	13	0
11	14	0
12	14	1
11	15	0
12	15	1
11	16	0
12	16	1
11	17	0
12	17	1
11	18	1
12	18	0
11	19	0
12	19	1
11	20	0
12	20	1
11	21	0
12	21	1
11	22	0
12	22	1
11	23	0
12	23	1
11	24	1
12	24	0
13	1	1
14	1	0
13	2	0
14	2	1
13	3	1
14	3	0
13	4	0
14	4	1
13	5	1
14	5	0
13	6	0
14	6	1
13	7	0
14	7	1
13	8	1
14	8	0
13	9	1
14	9	0
13	10	0
14	10	1
13	11	0
14	11	1
13	12	1
14	12	0
13	13	0
14	13	1
13	14	1
14	14	0
13	15	0
14	15	1
13	16	0
14	16	1
13	17	1
14	17	0
13	18	1
14	18	0
13	19	1
14	19	0
13	20	1
14	20	0
13	21	0
14	21	1
13	22	0
14	22	1
13	23	1
14	23	0
13	24	1
14	24	0
