Node	Time	Intraday_Price
3	1	19.56545307137108
3	2	28.514462293165316
3	3	11.8349375488108
3	4	23.435992156639184
3	5	19.330819757766445
3	6	17.94067936216792
3	7	15.31501272324778
3	8	28.94686552129569
3	9	23.46743531307939
3	10	15.637645409863902
3	11	16.731665680461784
3	12	23.78673851946532
3	13	22.0120150871989
3	14	19.57361670786242
3	15	20.57870331336572
3	16	16.47477368582837
3	17	17.85288703459316
3	18	20.505975110173118
3	19	14.055364945234205
3	20	18.056994916709396
3	21	21.820262950910806
3	22	15.944135715875806
3	23	17.188003279711662
3	24	21.788669317513573
4	1	23.69589223629504
4	2	18.51780263084436
4	3	41.610314049743636
4	4	26.75029602238399
4	5	31.995623566910833
4	6	27.998930141466737
4	7	38.963558672534965
4	8	67.52246367720983
4	9	51.29186517393154
4	10	67.92964974876074
4	11	47.59315577408395
4	12	74.51802182731367
4	13	44.47344151510978
4	14	43.93961122288654
4	15	40.679903256073544
4	16	36.58036510316185
4	17	31.464699080442433
4	18	49.819435560055496
4	19	22.40804165569501
4	20	31.46215326876999
4	21	52.15214716512164
4	22	68.10999216321729
4	23	35.293300879568164
4	24	48.67339101322447
5	1	34.49301495009915
5	2	35.90044397882609
5	3	37.224631106653035
5	4	28.330435326887198
5	5	32.37596753961762
5	6	31.752119983183633
5	7	40.46361786699177
5	8	50.61862863861502
5	9	45.21977244696899
5	10	42.39981708479145
5	11	32.46340910580325
5	12	33.85525674344655
5	13	33.37975167222234
5	14	28.311413076047845
5	15	22.260536482101873
5	16	26.869952582916856
5	17	35.278108774062154
5	18	54.33329687285041
5	19	41.11255043359893
5	20	39.551536015144016
5	21	38.18048206347771
5	22	17.542346093363808
5	23	27.866278622945693
5	24	30.649078736794095
6	1	14.962076311025282
6	2	14.376638034664166
6	3	31.57306370170953
6	4	16.798949110959047
6	5	18.050455145885962
6	6	29.245912291480305
6	7	18.058789476043643
6	8	30.607354210203773
6	9	33.3299322311654
6	10	39.221888028107664
6	11	21.45749330339771
6	12	2.504500590555947
6	13	-1.363186780007849
6	14	-0.020238851484560155
6	15	23.235195709679463
6	16	17.96101036235717
6	17	24.670840337560143
6	18	28.01104165566508
6	19	34.992881545496644
6	20	17.613840421548762
6	21	23.79795734161042
6	22	23.92026730554147
6	23	26.6869577076501
6	24	21.685460608988162
7	1	44.355078359565425
7	2	28.043242641696917
7	3	24.51712336061032
7	4	50.65228483792419
7	5	33.74098517761659
7	6	30.436832610999677
7	7	51.49181290448229
7	8	40.77099456929844
7	9	31.688273691228776
7	10	32.97804803953871
7	11	45.85716134554485
7	12	28.45357528744715
7	13	48.41101869805907
7	14	33.70615443969325
7	15	37.15823523612603
7	16	44.44657982981434
7	17	44.508163523496755
7	18	26.046141735315757
7	19	33.00131956131566
7	20	31.399649812195406
7	21	37.408494651018025
7	22	28.07157974972335
7	23	32.083025774450036
7	24	46.2229135041841
8	1	62.067014498219784
8	2	34.72240986329945
8	3	48.010463171024696
8	4	60.959070113293436
8	5	58.0999789538894
8	6	55.913086480274075
8	7	42.53086294470824
8	8	107.66552438413338
8	9	95.09024741574902
8	10	66.2099304397849
8	11	39.871272738966645
8	12	100.23587933962459
8	13	50.63505564981567
8	14	61.883785669894266
8	15	35.86348856349813
8	16	53.045884635268756
8	17	59.56996760833404
8	18	32.19985124540418
8	19	55.963306106657015
8	20	35.47946488754018
8	21	62.267964879809966
8	22	81.83893682881866
8	23	62.68760049362177
8	24	54.95460359576342
9	1	58.6990605958784
9	2	29.665659085285892
9	3	44.93671157051699
9	4	46.110136799427885
9	5	37.113393502798345
9	6	47.92664757491157
9	7	42.710584219867044
9	8	50.66660931868434
9	9	80.0017497148617
9	10	71.86790006330266
9	11	74.42388297622179
9	12	70.03072954641839
9	13	66.19534837628663
9	14	48.15877900917412
9	15	38.06774274153778
9	16	59.65109990181714
9	17	127.75635991453278
9	18	85.2442306755979
9	19	91.73700845186278
9	20	73.03022479633388
9	21	59.79224726667699
9	22	50.078562400795576
9	23	77.51192995646385
9	24	73.44273665216812
10	1	67.94718146512614
10	2	35.713258566610946
10	3	87.22195737552272
10	4	71.22370396925332
10	5	49.824345934872646
10	6	49.95222160571895
10	7	63.24239133526427
10	8	80.8849455072991
10	9	84.30445904439347
10	10	86.41987671683297
10	11	43.95791508482797
10	12	87.98613639261319
10	13	63.66771921801635
10	14	79.84382589640661
10	15	60.71352252345128
10	16	59.373073001294465
10	17	50.16033303790784
10	18	78.99530234489762
10	19	75.92622237908083
10	20	49.00052881657054
10	21	95.24589387225795
10	22	68.07262728829163
10	23	54.46626703779423
10	24	51.62917072704727
11	1	35.12941079305332
11	2	23.33422595419838
11	3	28.916218610339005
11	4	36.378222138471635
11	5	31.221506714956163
11	6	27.53365498551702
11	7	32.279679562874755
11	8	39.65309528126364
11	9	47.10707189449611
11	10	29.7205183350135
11	11	33.634250443361545
11	12	65.60762451475505
11	13	30.852387936520113
11	14	24.41000701765648
11	15	48.04853163099488
11	16	31.471000630971158
11	17	36.81353710511296
11	18	29.775098076572107
11	19	28.123337146938333
11	20	25.13814295461034
11	21	34.476058104577426
11	22	26.299553724215816
11	23	19.349117262550973
11	24	24.705875624216414
12	1	62.47993284232509
